Total_epoch:1000
link:603 Epoch:0312cost =0.041441236; MAPE0.999994311
link:603 Epoch:0313cost =0.041156363; MAPE0.999994723
link:603 Epoch:0314cost =0.039840952; MAPE0.999985619
link:603 Epoch:0315cost =0.058614980; MAPE0.999994242
link:603 Epoch:0316cost =0.039759189; MAPE0.999993029
link:603 Epoch:0317cost =0.052169669; MAPE0.999992676
link:603 Epoch:0318cost =0.041661475; MAPE0.999992747
link:603 Epoch:0319cost =0.041650005; MAPE0.999992869
link:603 Epoch:0320cost =0.041634582; MAPE0.999993059
link:603 Epoch:0321cost =0.041612711; MAPE0.999993340
link:603 Epoch:0322cost =0.041579865; MAPE0.999993731
link:603 Epoch:0323cost =0.041525260; MAPE0.999994257
link:603 Epoch:0324cost =0.041413538; MAPE0.999994932
link:603 Epoch:0325cost =0.041025158; MAPE0.999995922
link:603 Epoch:0326cost =0.039743893; MAPE0.999997215
link:603 Epoch:0327cost =0.042063903; MAPE0.999992777
link:603 Epoch:0328cost =0.041667297; MAPE0.999992645
link:603 Epoch:0329cost =0.041659415; MAPE0.999992574
link:603 Epoch:0330cost =0.041654609; MAPE0.999992500
link:603 Epoch:0331cost =0.041649010; MAPE0.999992425
link:603 Epoch:0332cost =0.041642435; MAPE0.999992349
link:603 Epoch:0333cost =0.041634593; MAPE0.999992276
link:603 Epoch:0334cost =0.041625075; MAPE0.999992210
link:603 Epoch:0335cost =0.041613027; MAPE0.999992157
link:603 Epoch:0336cost =0.041597538; MAPE0.999992126
link:603 Epoch:0337cost =0.041576855; MAPE0.999992130
link:603 Epoch:0338cost =0.041547675; MAPE0.999992188
link:603 Epoch:0339cost =0.041503936; MAPE0.999992329
link:603 Epoch:0340cost =0.041431293; MAPE0.999992581
link:603 Epoch:0341cost =0.041290019; MAPE0.999992864
link:603 Epoch:0342cost =0.040917385; MAPE0.999992218
link:603 Epoch:0343cost =0.039555736; MAPE0.999989108
link:603 Epoch:0344cost =0.043239005; MAPE0.999984117
link:603 Epoch:0345cost =0.041538034; MAPE0.999995128
link:603 Epoch:0346cost =0.041629050; MAPE0.999995077
link:603 Epoch:0347cost =0.041617427; MAPE0.999995017
link:603 Epoch:0348cost =0.041603372; MAPE0.999994944
link:603 Epoch:0349cost =0.041585673; MAPE0.999994852
link:603 Epoch:0350cost =0.041562270; MAPE0.999994731
link:603 Epoch:0351cost =0.041529555; MAPE0.999994559
link:603 Epoch:0352cost =0.041478891; MAPE0.999994284
link:603 Epoch:0353cost =0.041389152; MAPE0.999993766
link:603 Epoch:0354cost =0.041202452; MAPE0.999992677
link:603 Epoch:0355cost =0.040997658; MAPE0.999991983
link:603 Epoch:0356cost =0.040566146; MAPE0.999985008
link:603 Epoch:0357cost =0.039473403; MAPE0.999989910
link:603 Epoch:0358cost =0.039737456; MAPE0.999984207
link:603 Epoch:0359cost =0.040781606; MAPE0.999990002
link:603 Epoch:0360cost =0.041291386; MAPE0.999988283
link:603 Epoch:0361cost =0.041138783; MAPE0.999991770
link:603 Epoch:0362cost =0.041008607; MAPE0.999990266
link:603 Epoch:0363cost =0.040326275; MAPE0.999989078
link:603 Epoch:0364cost =0.039399989; MAPE0.999989858
link:603 Epoch:0365cost =0.039555550; MAPE0.999990354
link:603 Epoch:0366cost =0.039787471; MAPE0.999989463
link:603 Epoch:0367cost =0.039686430; MAPE0.999989570
link:603 Epoch:0368cost =0.040258553; MAPE0.999989627
link:603 Epoch:0369cost =0.039346218; MAPE0.999989445
link:603 Epoch:0370cost =0.039452363; MAPE0.999989785
link:603 Epoch:0371cost =0.039889537; MAPE0.999989271
